"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/NER","NE","Niger","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",34.4,"Neonatal mortality rate [under 1 month old]"
"country/NGA","NG","Nigeria","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",34.3,"Neonatal mortality rate [under 1 month old]"
"country/RWA","RW","Rwanda","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",17,"Neonatal mortality rate [under 1 month old]"
"country/SDN","SD","Sudan","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.7,"Neonatal mortality rate [under 1 month old]"
"country/SEN","SN","Senegal","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",20.4,"Neonatal mortality rate [under 1 month old]"
"country/SLE","SL","Sierra Leone","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",30.8,"Neonatal mortality rate [under 1 month old]"
"country/SOM","SO","Somalia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",35.1,"Neonatal mortality rate [under 1 month old]"
"country/SSD","","South Sudan","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",39.4,"Neonatal mortality rate [under 1 month old]"
"country/STP","ST","São Tomé and Príncipe","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",7,"Neonatal mortality rate [under 1 month old]"
"country/SWZ","SZ","Eswatini","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",22.4,"Neonatal mortality rate [under 1 month old]"
"country/SYC","SC","Seychelles","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",9,"Neonatal mortality rate [under 1 month old]"
"country/TCD","TD","Chad","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",31.6,"Neonatal mortality rate [under 1 month old]"
"country/TGO","TG","Togo","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",23.5,"Neonatal mortality rate [under 1 month old]"
"country/TUN","TN","Tunisia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",8.1,"Neonatal mortality rate [under 1 month old]"
"country/TZA","TZ","Tanzania","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",19.6,"Neonatal mortality rate [under 1 month old]"
"country/UGA","UG","Uganda","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",18.4,"Neonatal mortality rate [under 1 month old]"
"country/ZAF","ZA","South Africa","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",11,"Neonatal mortality rate [under 1 month old]"
"country/ZMB","ZM","Zambia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",24.1,"Neonatal mortality rate [under 1 month old]"
"country/ZWE","ZW","Zimbabwe","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",24.3,"Neonatal mortality rate [under 1 month old]"
