"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/SWZ","SZ","Eswatini","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",35.5,"Infant mortality rate [under 1 year old, Female]"
"country/SYC","SC","Seychelles","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",11.5,"Infant mortality rate [under 1 year old, Female]"
"country/TCD","TD","Chad","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",57.8,"Infant mortality rate [under 1 year old, Female]"
"country/TGO","TG","Togo","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",37.7,"Infant mortality rate [under 1 year old, Female]"
"country/TUN","TN","Tunisia","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",9,"Infant mortality rate [under 1 year old, Female]"
"country/TZA","TZ","Tanzania","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",26.9,"Infant mortality rate [under 1 year old, Female]"
"country/UGA","UG","Uganda","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",26.8,"Infant mortality rate [under 1 year old, Female]"
"country/ZAF","ZA","South Africa","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.5,"Infant mortality rate [under 1 year old, Female]"
"country/ZMB","ZM","Zambia","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",35.2,"Infant mortality rate [under 1 year old, Female]"
"country/ZWE","ZW","Zimbabwe","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",30.7,"Infant mortality rate [under 1 year old, Female]"
